rel,title,title_source,family,fy_primary,n_pages,is_primary,sha256_short,sample_reason
Teaching/ECON232/2015-16/Problem Sets/Effective Protection in the Automobile Sector - A Difference- use this one.pdf,Effective Protection in the Automobile Sector: A,page0,effective protection in the automobile sector a,2015-16,30,0,0601271225d6,target_family_16ed_sanity_fail
Sources/Provincial/Punjab/White Papers/2022-23/Effective Protection in the Automobile Sector A Sub Nationa.pdf,Effective Protection in the Automobile Sector: A,page0,effective protection in the automobile sector a,2022-23,11,0,1b601ad539a7,target_family_16ed_sanity_fail
Teaching/ECON671/2025-26/effective_protection_in_the_automobile_sector_a_district_le.pdf,Effective Protection in the Automobile Sector: A,page0,effective protection in the automobile sector a,2025-26,61,0,740b96c66683,target_family_16ed_sanity_fail
Teaching/ECON232/2013-14/Problem Sets/Effective Protection in the Automobile Sector - A Difference-.pdf,Effective Protection in the Automobile Sector: A,page0,effective protection in the automobile sector a,2013-14,11,0,8f38e3f85982,target_family_16ed_sanity_fail
Teaching/ECON671/2017-18/Problem Sets/Effective Protection in the Automobile Sector A Difference.pdf,Effective Protection in the Automobile Sector: A,page0,effective protection in the automobile sector a,2017-18,51,0,38c5e3d1462e,target_family_16ed_sanity_fail
Teaching/ECON232/2015-16/Effective Protection in the Automobile Sector - A Difference-.pdf,Effective Protection in the Automobile Sector: A,page0,effective protection in the automobile sector a,2015-16,7,0,d5ee4d7bd2a6,target_family_16ed_sanity_fail
Teaching/ECON671/2021-22/Solutions/effective_protection_in_the_automobile_sector_a_sub_nationa.pdf,Effective Protection in the Automobile Sector: A,page0,effective protection in the automobile sector a,2021-22,11,0,3ff81696949d,target_family_16ed_sanity_fail
Teaching/ECON671/2020-21/Exams/Effective Protection in the Automobile Sector A Sub Nationa.pdf,Effective Protection in the Automobile Sector: A,page0,effective protection in the automobile sector a,2020-21,64,0,5525f985e407,target_family_16ed_sanity_fail
Sources/Federal/Fiscal Operations/2021-22/effective_protection_in_the_automobile_sector_a_sub_nationa (2).pdf,Effective Protection in the Automobile Sector: A,page0,effective protection in the automobile sector a,2021-22,8,0,1a860279db31,target_family_16ed_sanity_fail
Sources/Federal/Annual Budget Statement/2024-25/effective_protection_in_the_automobile_sector_a_district_le (2).pdf,Effective Protection in the Automobile Sector: A,page0,effective protection in the automobile sector a,2024-25,36,0,310fd17c4cde,target_family_16ed_sanity_fail
Sources/Federal/Economic Survey/2011-12/Pakistan Economic Survey 2011-12.pdf,Pakistan Economic Survey 2011-12,page0,pakistan economic survey {fy},2011-12,383,1,2fd139c23cf3,copy_heavy_good:pakistan economic survey {fy}
Sources/Federal/Economic Survey/2012-13/Pakistan Economic Survey 2012-13.pdf,Pakistan Economic Survey 2012-13,page0,pakistan economic survey {fy},2012-13,408,1,6805a6f3e53d,copy_heavy_good:pakistan economic survey {fy}
Sources/Federal/Economic Survey/2013-14/Pakistan Economic Survey 2013-14.pdf,Pakistan Economic Survey 2013-14,page0,pakistan economic survey {fy},2013-14,344,1,261bbae9d3d3,copy_heavy_good:pakistan economic survey {fy}
Sources/Federal/Economic Survey/2014-15/Pakistan Economic Survey 2014-15.pdf,Pakistan Economic Survey 2014-15,page0,pakistan economic survey {fy},2014-15,460,1,0c02262b951f,copy_heavy_good:pakistan economic survey {fy}
Grants/IGC 2017/submitted/Pakistan Economic Survey 2011-12 rebased.pdf,Pakistan Economic Survey 2011-12,page0,pakistan economic survey {fy},2011-12,11,0,98527b301cf0,copy_heavy_good:pakistan economic survey {fy}
_NEW_STRUCTURE/sources/federal/Pakistan Economic Survey 2011-12 copy.pdf,Pakistan Economic Survey 2011-12,page0,pakistan economic survey {fy},2011-12,9,0,98ee6ca0f7cf,copy_heavy_good:pakistan economic survey {fy}
_NEW_STRUCTURE/sources/federal/Pakistan Economic Survey 2011-12 (2).pdf,Pakistan Economic Survey 2011-12,page0,pakistan economic survey {fy},2011-12,10,0,d12b841f5e45,copy_heavy_good:pakistan economic survey {fy}
Downloads/reports/local think tanks/Pakistan Economic Survey 2015-16 (2).pdf,Pakistan Economic Survey 2015-16,page0,pakistan economic survey {fy},2015-16,48,0,6b14dc0f40a9,copy_heavy_good:pakistan economic survey {fy}
Teaching/ECON671/2023-24/Solutions/Household Integrated Economic Survey 2011-12.pdf,Household Integrated Economic Survey 2011-12,page0,household integrated economic survey {fy},2011-12,745,1,e19a0acc0e63,copy_heavy_good:household integrated economic survey {fy}
Teaching/ECON671/2017-18/Solutions/Household Integrated Economic Survey 2012-13.pdf,Household Integrated Economic Survey 2012-13,page0,household integrated economic survey {fy},2012-13,656,1,d62d76eefae8,copy_heavy_good:household integrated economic survey {fy}
Teaching/ECON341/2018-19/Solutions/Household Integrated Economic Survey 2013-14.pdf,Household Integrated Economic Survey 2013-14,page0,household integrated economic survey {fy},2013-14,612,1,dbfe7c57f6e7,copy_heavy_good:household integrated economic survey {fy}
RA Work/provincial_fiscal_panel/logs/Household Integrated Economic Survey 2014-15.pdf,Household Integrated Economic Survey 2014-15,page0,household integrated economic survey {fy},2014-15,749,1,42f9054b409e,copy_heavy_good:household integrated economic survey {fy}
Sources/Notifications/2013/Household Integrated Economic Survey 2012-13.pdf,Household Integrated Economic Survey 2012-13,page0,household integrated economic survey {fy},2012-13,318,0,ba3230beb6ea,copy_heavy_good:household integrated economic survey {fy}
Sources/Federal/Fiscal Operations/Household Integrated Economic Survey 2013-14.pdf,Household Integrated Economic Survey 2013-14,page0,household integrated economic survey {fy},2013-14,412,0,1de966bb599a,copy_heavy_good:household integrated economic survey {fy}
RA Work/household_survey_extract/raw/rounds/round4/Household Integrated Economic Survey 2013-14.pdf,Household Integrated Economic Survey 2013-14,page0,household integrated economic survey {fy},2013-14,400,0,db1bf53a32a6,copy_heavy_good:household integrated economic survey {fy}
Sources/Notifications/2012/Household Integrated Economic Survey 2021-22.pdf,Household Integrated Economic Survey 2021-22,page0,household integrated economic survey {fy},2021-22,649,0,2735f529dcda,copy_heavy_good:household integrated economic survey {fy}
Downloads/reports/adb/literacy_rate_wrong_year_in_header.csv,"series_id,label,fiscal_year,value,unit,vintage_label,obs_status,source_doc",page0,series id label fiscal year value unit vintage label obs status source doc,2009-10,1,1,2ea927f36257,copy_heavy_defect:series id label fiscal year value unit vintage label obs status source doc
Admin/Referee work/prov_balochistan_adp_mn.csv,"series_id,label,fiscal_year,value,unit,vintage_label,obs_status,source_doc",page0,series id label fiscal year value unit vintage label obs status source doc,2010-10,1,1,c6be9c4c52b7,copy_heavy_defect:series id label fiscal year value unit vintage label obs status source doc
Downloads/papers/misc/prov_balochistan_health_current_inside_archive.csv,"series_id,label,fiscal_year,value,unit,vintage_label,obs_status,source_doc",page0,series id label fiscal year value unit vintage label obs status source doc,2010-11,1,1,bc8a8e3aa74e,copy_heavy_defect:series id label fiscal year value unit vintage label obs status source doc
Sources/Provincial/Sindh/Finance Bills/gdp_growth_real_mn.csv,"series_id,label,fiscal_year,value,unit,vintage_label,obs_status,source_doc",page0,series id label fiscal year value unit vintage label obs status source doc,2011-12,1,1,dea90b52fe48,copy_heavy_defect:series id label fiscal year value unit vintage label obs status source doc
Downloads/reports/world bank/prov_sindh_outlay_other_base_year.csv,"series_id,label,fiscal_year,value,unit,vintage_label,obs_status,source_doc",page0,series id label fiscal year value unit vintage label obs status source doc,2010-11,1,0,cc058ed9e5fe,copy_heavy_defect:series id label fiscal year value unit vintage label obs status source doc
archive/2024 cleanup/provincial/public_debt_external_inside_archive.csv,"series_id,label,fiscal_year,value,unit,vintage_label,obs_status,source_doc",page0,series id label fiscal year value unit vintage label obs status source doc,2010-11,1,0,3a4abd60941b,copy_heavy_defect:series id label fiscal year value unit vintage label obs status source doc
agent_workspace/data/clean/remittances_series.csv,"series_id,label,fiscal_year,value,unit,vintage_label,obs_status,source_doc",page0,series id label fiscal year value unit vintage label obs status source doc,2010-11,1,0,045ba67df804,copy_heavy_defect:series id label fiscal year value unit vintage label obs status source doc
Downloads/papers/to read/literacy_rate_mn.csv,"series_id,label,fiscal_year,value,unit,vintage_label,obs_status,source_doc",page0,series id label fiscal year value unit vintage label obs status source doc,2010-11,1,0,cb8e7abbdab9,copy_heavy_defect:series id label fiscal year value unit vintage label obs status source doc
Teaching/ECON232/2011-12/Solutions/Education Expenditure and Learning Outcomes - Panel Evidence.pdf,Education Expenditure and Learning Outcomes:,page0,education expenditure and learning outcomes,2011-12,39,1,755a325c4597,copy_heavy_defect:education expenditure and learning outcomes
Teaching/ECON341/2012-13/Education Expenditure and Learning Outcomes - New Estimates (3).pdf,Education Expenditure and Learning Outcomes: New,page0,education expenditure and learning outcomes,2012-13,51,1,ccae30720ffe,copy_heavy_defect:education expenditure and learning outcomes
Teaching/ECON341/2013-14/Lectures/Education Expenditure and Learning Outcomes - Panel Evidence (2).pdf,Education Expenditure and Learning Outcomes:,page0,education expenditure and learning outcomes,2013-14,59,1,1965b086b7d6,copy_heavy_defect:education expenditure and learning outcomes
Sources/Federal/Fiscal Operations/2014-15/Education Expenditure and Learning Outcomes - Evidence from P.pdf,Education Expenditure and Learning Outcomes:,page0,education expenditure and learning outcomes,2014-15,49,1,ddd35787e63f,copy_heavy_defect:education expenditure and learning outcomes
Teaching/ECON232/2018-19/Exams/Education Expenditure and Learning Outcomes Evidence from P.pdf,Education Expenditure and Learning Outcomes:,page0,education expenditure and learning outcomes,2018-19,15,0,ad41f8fb5239,copy_heavy_defect:education expenditure and learning outcomes
Sources/Federal/Economic Survey/2016-17/Education Expenditure and Learning Outcomes New Estimates.pdf,Education Expenditure and Learning Outcomes:,page0,education expenditure and learning outcomes,2016-17,33,0,c2ac2f1e7853,copy_heavy_defect:education expenditure and learning outcomes
Sources/Federal/Fiscal Operations/2022-23/education_expenditure_and_learning_outcomes_panel_evidence.pdf,Education Expenditure and Learning Outcomes:,page0,education expenditure and learning outcomes,2022-23,27,0,b1fc32098384,copy_heavy_defect:education expenditure and learning outcomes
Sources/Federal/PSDP/2024-25/education_expenditure_and_learning_outcomes_panel_evidence.pdf,Education Expenditure and Learning Outcomes:,page0,education expenditure and learning outcomes,2024-25,41,0,a449488bb0c2,copy_heavy_defect:education expenditure and learning outcomes
Teaching/ECON232/2011-12/Solutions/Public Debt Sustainability under Exchange Rate Shocks - Evide.pdf,Public Debt Sustainability under Exchange Rate,page0,public debt sustainability under exchange rate,2011-12,36,1,e5b8ef4bb44f,copy_heavy_defect:public debt sustainability under exchange rate
Sources/Federal/Annual Budget Statement/2012-13/Public Debt Sustainability under Exchange Rate Shocks - Panel (2).pdf,Public Debt Sustainability under Exchange Rate,page0,public debt sustainability under exchange rate,2012-13,59,1,9a244771fdf9,copy_heavy_defect:public debt sustainability under exchange rate
Teaching/ECON232/2013-14/Lectures/Public Debt Sustainability under Exchange Rate Shocks - A Rea FINAL_v2.pdf,Public Debt Sustainability under Exchange Rate,page0,public debt sustainability under exchange rate,2013-14,45,1,eab5cd3c4a0b,copy_heavy_defect:public debt sustainability under exchange rate
Sources/Federal/Fiscal Operations/2014-15/Public Debt Sustainability under Exchange Rate Shocks - Evide.pdf,Public Debt Sustainability under Exchange Rate,page0,public debt sustainability under exchange rate,2014-15,48,1,565d1034ea2e,copy_heavy_defect:public debt sustainability under exchange rate
Teaching/ECON341/2016-17/Public Debt Sustainability under Exchange Rate Shocks New E.pdf,Public Debt Sustainability under Exchange Rate,page0,public debt sustainability under exchange rate,2016-17,53,0,f47d41f758f5,copy_heavy_defect:public debt sustainability under exchange rate
Sources/Federal/Fiscal Operations/2022-23/public_debt_sustainability_under_exchange_rate_shocks_evide.pdf,Public Debt Sustainability under Exchange Rate,page0,public debt sustainability under exchange rate,2022-23,41,0,1a47f7d3f318,copy_heavy_defect:public debt sustainability under exchange rate
Teaching/ECON671/2021-22/Exams/public_debt_sustainability_under_exchange_rate_shocks_panel.pdf,Public Debt Sustainability under Exchange Rate,page0,public debt sustainability under exchange rate,2021-22,61,0,7410113057d8,copy_heavy_defect:public debt sustainability under exchange rate
Teaching/ECON232/2015-16/Public Debt Sustainability under Exchange Rate Shocks - Evide use this one.pdf,Public Debt Sustainability under Exchange Rate,page0,public debt sustainability under exchange rate,2015-16,11,0,10dc7c89c735,copy_heavy_defect:public debt sustainability under exchange rate
Teaching/ECON341/2012-13/Solutions/Agricultural_Support_Prices_and_Cropping_Patterns_A_Regress.pdf,Agricultural Support Prices and Cropping,page0,agricultural support prices and cropping,2012-13,76,1,2d6864515475,copy_heavy_defect:agricultural support prices and cropping
Sources/Provincial/Gilgit-Baltistan/White Papers/2013-14/agricultural_support_prices_and_cropping_patterns_evidence.pdf,Agricultural Support Prices and Cropping,page0,agricultural support prices and cropping,2013-14,36,1,1e2a4c44e8c3,copy_heavy_defect:agricultural support prices and cropping
Teaching/ECON232/2015-16/agricultural_support_prices_and_cropping_patterns_a_sub_nat.pdf,Agricultural Support Prices and Cropping,page0,agricultural support prices and cropping,2015-16,50,1,fa05a310ba32,copy_heavy_defect:agricultural support prices and cropping
Teaching/ECON341/2016-17/Problem Sets/Agricultural Support Prices and Cropping Patterns A Regress.pdf,Agricultural Support Prices and Cropping,page0,agricultural support prices and cropping,2016-17,67,1,79679764ee4d,copy_heavy_defect:agricultural support prices and cropping
Teaching/ECON232/2018-19/Agricultural Support Prices and Cropping Patterns A Sub Nat.pdf,Agricultural Support Prices and Cropping,page0,agricultural support prices and cropping,2018-19,69,0,41d27342b5c2,copy_heavy_defect:agricultural support prices and cropping
Teaching/ECON341/2021-22/agricultural_support_prices_and_cropping_patterns_evidence.pdf,Agricultural Support Prices and Cropping,page0,agricultural support prices and cropping,2021-22,59,0,8173cf43df4c,copy_heavy_defect:agricultural support prices and cropping
Sources/Federal/Fiscal Operations/2021-22/agricultural_support_prices_and_cropping_patterns_a_regress.pdf,Agricultural Support Prices and Cropping,page0,agricultural support prices and cropping,2021-22,25,0,94626639e0aa,copy_heavy_defect:agricultural support prices and cropping
Sources/Federal/PSDP/2017-18/Agricultural Support Prices and Cropping Patterns Evidence.pdf,Agricultural Support Prices and Cropping,page0,agricultural support prices and cropping,2017-18,36,0,2e756c287237,copy_heavy_defect:agricultural support prices and cropping
Teaching/ECON341/2019-20/Lectures/Informality and the Tax Base Evidence from Administrative R.pdf,Informality and the Tax Base: Evidence from,page0,informality and the tax base evidence from,2019-20,52,0,b5659a535325,stratified_random
Sources/Federal/Annual Budget Statement/2021-22/female_labour_force_participation_a_difference_in_differenc.pdf,Female Labour Force Participation: A,page0,female labour force participation a,2021-22,59,1,e6161ca28837,stratified_random
Downloads/papers/to read/prov_punjab_adp_other_base_year.csv,"series_id,label,fiscal_year,value,unit,vintage_label,obs_status,source_doc",page0,series id label fiscal year value unit vintage label obs status source doc,2010-11,1,0,07465960cda7,stratified_random
Sources/Provincial/Gilgit-Baltistan/Citizen Budgets/SOURCE SELECTION.md,# Source selection — BLOCKED,page0,source selection blocked,,1,1,c3e3b83b93e0,stratified_random
Conferences/Education Expenditure and Learning Outcomes A Sub National.pdf,Education Expenditure and Learning Outcomes: A,page0,education expenditure and learning outcomes a,,41,1,2494866d63c8,stratified_random
.old_backup/provincial_fiscal_panel/clean/Annual Budget Statement 2021-22 old tables.pdf,Annual Budget Statement 2021-22,page0,annual budget statement {fy},2021-22,44,0,3018baf3985e,stratified_random
Teaching/ECON341/2019-20/Solutions/Energy Subsidies and Fiscal Space A Difference in Differenc.pdf,Energy Subsidies and Fiscal Space: A,page0,energy subsidies and fiscal space a,2019-20,31,0,e1541d3034f6,stratified_random
Sources/Federal/PSDP/2026-27/Household Integrated Economic Survey 2019-20.pdf,Household Integrated Economic Survey 2019-20,page0,household integrated economic survey {fy},2019-20,234,0,705b78ff740e,stratified_random
_NEW_STRUCTURE/sources/federal/debt_servicing_mn.csv,series_id	label	fiscal_year	value	unit	vintage_label	obs_status	source_doc,page0,series id label fiscal year value unit vintage label obs status source doc,2010-11,1,0,0b3a1445d186,stratified_random
Papers/Tax effort/submission/Urbanisation and Municipal Finance A District Level Analysi.pdf,Urbanisation and Municipal Finance: A,page0,urbanisation and municipal finance a,,41,1,d91b291f00ec,stratified_random
Papers/Tax effort/replication/data/raw/public_debt_external_working.csv,"series_id,label,fiscal_year,value,unit,vintage_label,obs_status,source_doc",page0,series id label fiscal year value unit vintage label obs status source doc,2010-11,1,0,0636531e8338,stratified_random
Teaching/ECON232/2011-12/Solutions/Devolution after the Eighteenth Amendment - A Regression Disc FINAL.pdf,Devolution after the Eighteenth Amendment: A,page0,devolution after the eighteenth amendment a,2011-12,43,1,4e7dbc53f03f,stratified_random
Sources/Federal/PSDP/2018-19/Fiscal Decentralisation and Service Delivery A Regression D.pdf,Fiscal Decentralisation and Service Delivery: A,page0,fiscal decentralisation and service delivery a,2018-19,8,0,6286ace79d46,stratified_random
Downloads/papers/to read/Pakistan Economic Survey 2020-21 rebased.pdf,Pakistan Economic Survey 2020-21,page0,pakistan economic survey {fy},2020-21,57,0,fb467ebc72e1,stratified_random
Shared with coauthors/Hussain/Sooba'i Bajat/Public Investment Multipliers Evidence from Administrative.pdf,Public Investment Multipliers: Evidence from,page0,public investment multipliers evidence from,,75,1,e33105745e3b,stratified_random
RA Work/auto_sector_protection/output/intergovernmental_transfers_and_local_accountability_a_diff.pdf,Intergovernmental Transfers and Local,page0,intergovernmental transfers and local,,66,1,fde72032d6aa,stratified_random
Sources/Federal/Annual Budget Statement/2018-19/Tax Effort and Provincial Own Source Revenue Panel Evidence.pdf,Tax Effort and Provincial Own-Source Revenue:,page0,tax effort and provincial own source revenue,2018-19,8,0,c112651d8d9a,stratified_random
Sources/Notifications/2014/Devolution after the Eighteenth Amendment Evidence from Pak.pdf,Devolution after the Eighteenth Amendment:,page0,devolution after the eighteenth amendment,,7,1,1c6f459e0c8b,stratified_random
Sources/Federal/Household Integrated Economic Survey 2020-21.pdf,Household Integrated Economic Survey 2020-21,page0,household integrated economic survey {fy},2020-21,479,0,32f9c0a8c4d5,stratified_random
New folder (3)/Pakistan Economic Survey 2020-21 DRAFT.pdf,CITE Pakistan Economic Survey 2020-21,page0,cite pakistan economic survey {fy},2020-21,66,1,235dd092e8fb,stratified_random
Shared with coauthors/Hussain/Statistical Supplement 2018-19.pdf,Government of Pakistan,page0,government of pakistan,2018-19,308,0,851145691dfe,stratified_random
Papers/Tax effort/replication/data/derived/Agricultural Support Prices and Cropping Patterns Evidence.pdf,Agricultural Support Prices and Cropping,page0,agricultural support prices and cropping,,57,1,cc03b2c277f2,stratified_random
Teaching/ECON232/2018-19/Solutions/Tax Effort and Provincial Own Source Revenue A Regression D.pdf,Tax Effort and Provincial Own-Source Revenue: A,page0,tax effort and provincial own source revenue a,2018-19,27,0,4bb0cc2af707,stratified_random
Downloads/papers/to read/Customs Duty on Completely Built-Up Units DRAFT.pdf,CITE Customs Duty on Completely Built-Up Units,page0,cite customs duty on completely built up units,2021-22,1,1,2db97b7de37c,stratified_random
Papers/Fiscal decentralisation/figures/Import Compression and the Current Account A Sub National P.pdf,Import Compression and the Current Account: A,page0,import compression and the current account a,,78,1,6a08cee073c7,stratified_random
Admin/Referee work/Tax Effort and Provincial Own Source Revenue Evidence from.pdf,Tax Effort and Provincial Own-Source Revenue:,page0,tax effort and provincial own source revenue,,38,1,2bf476e223ab,stratified_random
archive/2024 cleanup/txt_prov_punjab_health_current.txt,Referee comments -- 5 April 2024,page0,referee comments 5 april 2024,,1,1,07a94acdf402,stratified_random
Teaching/ECON671/2018-19/Urbanisation and Municipal Finance A District Level Analysi.pdf,Urbanisation and Municipal Finance: A,page0,urbanisation and municipal finance a,2018-19,31,0,c1f0b1d348f4,stratified_random
Downloads/Education Expenditure and Learning Outcomes - Panel Evidence FINAL_v2.pdf,Education Expenditure and Learning Outcomes:,page0,education expenditure and learning outcomes,,34,1,dd50c4ece3e8,stratified_random
Sources/Federal/Economic Survey/2018-19/Statistical Supplement 2024-25.pdf,Government of Pakistan,page0,government of pakistan,2018-19,351,0,0f919fcff7de,stratified_random
Teaching/ECON341/2017-18/Solutions/Year Book 2011-12 - Planning Development and Special Initiatives Division.pdf,Year Book 2011-12 - Planning Development and,page0,year book {fy} planning development and,2011-12,224,1,81d49c3ac5ef,stratified_random
Teaching/ECON232/2016-17/Solutions/Pakistan Energy Yearbook 2021-22.pdf,Pakistan Energy Yearbook 2021-22,page0,pakistan energy yearbook {fy},2021-22,733,1,1eed97616c86,stratified_random
